indice,Imp_Cons_03,Imp_Cons_08,Imp_Cons_09,Imp_Sal_07,Imp_Sal_08,Imp_Sal_09,Imp_Sal_10,Imp_Sal_19,Imp_Sal_21,Num_Oper_06,Socio_Demo_03,Imp_Sal_20,Num_Oper_05
28,0.0,0.0,0.0,0.0,1827.71,1775.106667,243.216667,19251.343333,23820.663333,1.0,43.73,89115.43,10.0
29,0.0,0.0,0.0,0.0,1320.583333,5455.2,518.626667,125312.386667,122607.27,7.0,74.7,758.57,8.0
30,0.0,0.0,0.0,0.0,956.67,1260.136667,191.973333,5118.89,12055.51,3.0,79.21,850.266667,6.0
31,498.181818,29.756667,64.65,0.0,1104.13,1103.046667,0.0,6.81,107.146667,1.0,35.81,0.0,11.0
32,356.0,216.818182,0.0,0.0,550.28,847.176667,94.94,57512.11,58691.566667,1.0,42.61,0.0,11.0
33,267.5,0.0,0.0,0.0,1637.746667,1586.423333,171.95,-1158.843333,183.253333,3.0,61.63,3375.113333,6.0
34,0.0,0.0,0.0,0.0,261.666667,261.79,0.0,0.86,11.79,1.0,38.94,0.0,2.0
35,0.0,0.0,0.0,0.0,1170.51,1180.23,366.54,51.756667,1903.946667,4.0,44.65,132706.563333,8.0
36,721.666667,28.533333,140.91875,0.0,5973.833333,7980.553333,1108.736667,66196.946667,131174.6,6.0,70.93,646.57,24.0
37,50.0,0.0,0.0,0.0,219.97,383.733333,69.89,17839.17,58743.896667,2.0,80.97,403.226667,5.0
38,1304.166667,0.0,0.0,0.0,525.466667,462.513333,119.125,-47.666667,5.686667,1.0,51.32,262.236667,9.0
39,0.0,0.0,0.0,0.0,1268.903333,1380.65,18951.05,494.9,1294.856667,2.0,68.26,58878.763333,9.0
40,250.909091,66.57,63.022857,0.0,4776.35,3691.306667,1946.253333,2176.133333,2556.143333,2.0,58.92,49055.6,53.0
41,134.0,0.0,0.0,0.0,1077.46,1038.93,85.56,1213.396667,1880.02,1.0,53.38,0.0,3.0
42,455.0,86.093333,60.0,0.0,1102.253333,1445.16,15.016667,11011.223333,16139.533333,1.0,34.39,0.0,23.0
43,261.666667,39.685,22.716667,0.0,1677.273333,1753.03,246.246667,715.543333,476.426667,3.0,29.17,0.0,22.0
44,526.363636,51.985,42.183333,0.0,261.926667,261.466667,0.0,130.866667,96.393333,1.0,24.07,194.8,8.0
45,0.0,0.0,41.7,0.0,6722.526667,6493.973333,2179.66,877.206667,1997.703333,3.0,72.37,0.0,28.0
46,561.0,52.45,201.5125,0.0,8650.426667,8796.893333,1982.63,2151.653333,7267.233333,15.0,60.75,112659.24,63.0
47,413.0,18.823333,16.475,0.0,306.813333,306.99,76.005,1.01,16.963333,5.0,58.01,0.0,10.0
48,0.0,0.0,0.0,0.0,1159.996667,880.68,133.266667,1930.113333,2130.666667,2.0,93.91,0.0,8.0
49,0.0,0.0,0.0,0.0,733.356667,776.566667,0.0,33405.54,34502.48,1.0,39.08,0.0,2.0
50,118.888889,62.193636,69.6,0.0,1344.19,1212.79,329.643333,1841.673333,1404.036667,1.0,74.14,2278.456667,19.0
51,402.5,114.171429,175.970833,0.0,7864.526667,5770.363333,847.58,28959.436667,76284.67,3.0,62.81,1414.886667,57.0
52,0.0,17.508333,0.0,0.0,684.74,0.0,18.073333,27804.26,31294.74,0.0,71.5,0.0,2.0
53,0.0,0.0,0.0,0.0,582.2,897.57,179.663333,90200.576667,90389.69,2.0,83.51,0.0,3.0
54,0.0,0.0,0.0,0.0,2194.883333,2322.333333,6405.226667,802.783333,17751.07,3.0,56.76,55808.27,14.0
55,387.5,54.2625,55.924,0.0,8431.076667,2844.99,529.473333,1160.056667,5503.733333,8.0,57.22,59448.43,54.0
56,0.0,0.0,0.0,0.0,634.883333,638.3,61.323333,2664.63,2478.22,1.0,73.85,637.7,10.0
57,841.25,0.0,133.226667,0.0,941.666667,1248.293333,31.64,677.196667,170.016667,1.0,63.59,1248.293333,4.0
58,0.0,0.0,0.0,0.0,74.163333,0.0,83.126667,33036.056667,33117.94,0.0,55.37,0.0,2.0
59,203.636364,134.505833,0.0,0.0,1692.83,2817.653333,994.073333,1916.303333,10056.46,3.0,60.71,991.55,33.0
60,400.0,0.0,0.0,0.0,3980.08,5975.0,1251.676667,44735.296667,86625.716667,3.0,67.66,0.0,16.0
61,0.0,0.0,0.0,0.0,3083.46,3936.153333,349.42,4945.883333,6341.736667,4.0,55.73,360.65,49.0
62,411.111111,0.0,0.0,0.0,1414.943333,1172.32,492.893333,697.746667,831.413333,2.0,72.88,637.7,12.0
63,0.0,0.0,0.0,0.0,0.0,467.303333,20.26,16656.396667,16380.32,2.0,38.46,0.0,0.0
64,0.0,0.0,0.0,0.0,1698.983333,1528.24,145.255,80353.326667,81417.453333,1.0,58.77,0.0,2.0
65,0.0,0.0,0.0,0.0,577.35,577.333333,569.62,0.393333,0.583333,2.0,42.38,0.0,3.0
66,0.0,0.0,0.0,0.0,581.27,482.9,51.4,11376.593333,17757.393333,1.0,53.85,0.0,14.0
67,0.0,0.0,0.0,0.0,1066.8,3654.106667,1054.983333,39611.486667,49889.653333,3.0,40.41,34668.68,11.0
68,415.833333,109.7,0.0,0.0,2102.923333,2101.636667,447.396667,5.92,109.753333,20.0,55.2,1232.19,39.0
69,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,122.02,0.0,72.34,0.0,0.0
70,210.0,0.0,0.0,0.0,1661.7,3.603333,79.33,23988.963333,25212.9,0.0,36.51,0.0,14.0
71,0.0,0.0,0.0,0.0,0.023333,0.12,0.0,7036.14,7036.093333,0.0,12.03,0.0,0.0
72,877.777778,48.3,469.030833,0.0,3744.23,2794.49,1512.17,2690.58,11651.14,3.0,77.14,1710.493333,32.0
73,221.0,59.206,15.76875,0.0,1574.68,977.823333,775.62,971.17,7404.896667,2.0,34.67,523.616667,32.0
74,0.0,0.0,0.0,0.0,1015.24,1052.48,63.69,537.22,293.553333,2.0,25.47,0.0,9.0
75,150.0,0.0,0.0,0.0,1689.916667,1597.596667,214.09,366.783333,368.146667,4.0,50.0,110914.88,25.0
76,0.0,91.205,121.76,0.0,6421.39,5589.576667,1908.36,562.6,489.48,8.0,75.16,822.543333,28.0
77,0.0,0.0,0.0,0.0,610.016667,674.52,276.616667,3576.29,15055.746667,3.0,66.27,0.0,9.0
78,0.0,0.0,0.0,0.0,1405.226667,1347.676667,77.38,134.793333,520.22,1.0,27.58,0.0,5.0
79,386.666667,24.35,0.0,0.0,6206.836667,6233.33,2893.676667,3152.156667,3147.906667,3.0,45.37,99371.28,27.0
80,352.222222,55.0,0.0,0.0,2427.383333,1003.88,203.18,1328.473333,784.44,1.0,37.22,512.15,36.0
81,0.0,0.0,0.0,0.0,83.333333,33.333333,0.0,7922.47,7970.32,0.0,8.71,0.0,1.0
82,1065.0,109.390833,0.0,0.0,2319.033333,2368.253333,500.323333,252.36,955.136667,5.0,40.18,106315.666667,51.0
83,1556.666667,21.916667,37.5,0.0,1266.96,811.39,100.796667,14421.103333,14654.976667,1.0,47.53,0.0,15.0
84,0.0,0.0,0.0,0.0,485.803333,1473.476667,88.58,8332.503333,8420.273333,3.0,27.96,0.0,3.0
85,1079.166667,26.031818,0.0,0.0,1403.883333,1550.623333,190.8,1096.84,292.68,2.0,57.79,4813.146667,16.0
86,436.363636,9.0375,9.8,0.0,0.096667,0.0,0.0,0.0,0.15,0.0,30.67,0.0,0.0
87,0.0,0.0,0.0,0.0,690.666667,688.44,0.0,0.54,1.6,1.0,33.99,0.0,2.0
88,0.0,29.775,0.0,0.0,3265.86,2800.173333,404.26,2497.85,2609.686667,2.0,55.36,127786.98,24.0
89,829.166667,142.803333,0.0,0.0,1929.463333,2215.366667,212.066667,16915.713333,17726.103333,2.0,35.2,0.0,29.0
90,629.166667,0.0,166.9,0.0,6564.326667,6254.116667,596.533333,9641.01,61797.093333,3.0,61.32,191.243333,24.0
91,0.0,0.0,0.0,0.0,246.983333,245.37,0.0,0.0,85.826667,0.0,24.31,0.0,1.0
92,0.0,0.0,0.0,0.0,842.343333,831.746667,366.006667,591.16,499.69,1.0,46.97,831.746667,5.0
93,0.0,0.0,0.0,0.0,2992.983333,1413.256667,10959.75,12775.236667,72558.586667,3.0,57.12,425.62,15.0
94,268.75,59.5575,95.86,0.0,5331.816667,2036.2,201.856667,13927.153333,87105.18,2.0,62.35,0.0,14.0
95,0.0,0.0,0.0,0.0,1840.003333,1520.693333,654.783333,39536.44,57985.836667,1.0,58.58,167572.596667,13.0
96,300.0,0.0,0.0,0.0,818.13,637.7,120.87,15507.696667,15190.383333,1.0,82.68,637.7,4.0
97,0.0,0.0,0.0,0.0,1578.556667,1318.833333,307.696667,15676.226667,28388.423333,10.0,82.24,0.0,5.0
98,0.0,0.0,0.0,0.0,2009.806667,1482.53,84.986667,11079.68,11339.083333,3.0,87.36,0.0,4.0
99,0.0,0.0,0.0,0.0,295.0,296.0,90.0,3.34,2.89,0.0,34.14,0.0,1.0
100,0.0,0.0,0.0,0.0,5059.826667,5107.74,1145.7,652.41,1101.57,5.0,54.72,5919.21,14.0
101,0.0,0.0,0.0,0.0,2462.073333,1835.206667,922.2,4910.306667,12235.32,4.0,52.23,0.0,23.0
102,880.0,0.0,0.0,0.0,684.8,684.286667,0.0,3.16,11.283333,1.0,40.23,0.0,3.0
103,0.0,40.0,88.535714,0.0,2662.536667,1513.75,309.76,7789.773333,15569.05,1.0,53.48,116242.453333,13.0
104,0.0,0.0,0.0,0.0,169.35,52.1,113.623333,14687.586667,14730.456667,1.0,87.64,0.0,5.0
105,0.0,0.0,0.0,0.0,1349.85,1561.276667,763.73,4277.79,4274.176667,3.0,49.88,0.0,17.0
106,227.0,92.7,33.45,0.0,1637.606667,1634.066667,223.553333,21987.066667,37675.56,2.0,33.7,0.0,11.0
107,232.5,26.0,0.0,0.0,2024.53,2384.633333,324.243333,1513.366667,1826.293333,2.0,40.05,0.0,31.0
108,732.0,0.0,0.0,0.0,70.0,73.166667,0.0,3.166667,68.093333,0.0,34.58,0.0,0.0
109,562.5,20.0,0.0,0.0,1405.77,1878.883333,342.47,18090.54,18185.446667,1.0,33.26,64168.633333,14.0
110,500.0,78.545,0.0,0.0,3016.536667,6561.273333,269.736667,59573.163333,98126.36,2.0,75.39,58.59,8.0
111,0.0,0.0,0.0,0.0,418.956667,265.873333,0.0,15.776667,58.85,1.0,31.96,0.0,2.0
112,196.0,32.5,87.4,0.0,1486.563333,2346.353333,562.356667,40789.673333,156759.216667,5.0,40.67,0.0,32.0
113,375.0,38.333333,0.0,0.0,51.92,1002.18,213.54,54347.063333,60500.346667,1.0,35.72,0.0,1.0
114,0.0,0.0,0.0,0.0,0.0,462.906667,0.0,9840.486667,10854.23,1.0,53.43,0.0,0.0
115,0.0,0.0,0.0,0.0,809.146667,646.83,536.393333,2548.906667,2860.11,2.0,87.63,0.0,3.0
116,0.0,0.0,0.0,0.0,745.0,740.56,0.0,6.146667,6.296667,1.0,84.24,0.0,1.0
117,0.0,0.0,0.0,0.0,362.126667,333.333333,174.543333,1394.24,1438.193333,0.0,74.69,0.0,5.0
118,0.0,0.0,0.0,0.0,915.413333,1431.613333,206.376667,8679.05,9135.393333,7.0,100.65,0.0,6.0
119,0.0,0.0,0.0,0.0,1645.493333,1496.34,0.0,2309.37,2990.513333,3.0,49.33,92103.08,6.0
120,511.818182,0.0,35.957143,0.0,0.026667,0.0,101.26,-0.05,61.006667,0.0,22.05,0.05,1.0
121,928.333333,0.0,0.0,0.0,0.903333,46.0,0.0,46.0,25.975,0.0,29.58,0.0,0.0
122,442.0,70.020909,118.55,0.0,3464.593333,4520.863333,369.446667,35070.963333,35308.47,4.0,39.22,91277.63,40.0
123,0.0,0.0,134.8,0.0,1384.4,1884.983333,840.896667,11549.173333,17510.74,5.0,73.28,192.17,15.0
124,0.0,0.0,33.6,0.0,580.206667,480.873333,0.0,1.05,50.913333,1.0,27.48,0.0,8.0
125,0.0,0.0,0.0,0.0,426.96,535.253333,0.0,654.863333,686.17,1.0,22.17,0.0,6.0
126,407.0,25.0,64.0,0.0,801.846667,690.5,110.563333,488.63,641.473333,1.0,35.51,0.0,10.0
127,171.428571,99.699167,15.713333,7665.41,604.216667,421.256667,1161.626667,0.0,244.0,1.0,58.96,58885.243333,6.0
128,0.0,0.0,0.0,0.0,2343.43,2344.286667,0.0,1141.276667,116.776667,2.0,40.0,0.0,3.0
129,527.5,25.316667,0.0,0.0,1859.113333,878.13,108.1,1131.663333,1806.366667,2.0,36.18,0.0,35.0
130,103.333333,0.0,0.0,0.0,2180.55,704.056667,572.466667,5307.176667,71312.916667,2.0,83.42,693.99,14.0
131,100.0,20.0,40.0,0.0,428.68,585.393333,236.183333,806.41,681.31,3.0,43.32,0.0,8.0
132,0.0,0.0,0.0,0.0,2465.186667,2666.583333,545.906667,7248.82,7938.0,2.0,52.58,0.0,14.0
133,0.0,0.0,0.0,0.0,6946.65,7518.363333,26.876667,3890.846667,34230.033333,2.0,83.48,850.266667,4.0
134,0.0,0.0,0.0,0.0,334.166667,334.653333,7.5,1.423333,84.276667,1.0,38.05,0.0,2.0
135,0.0,30.0,28.355,0.0,263.573333,524.506667,54.113333,8814.22,8753.136667,3.0,31.63,0.0,8.0
136,200.0,0.0,0.0,0.0,838.913333,850.266667,175.666667,303.366667,195.546667,1.0,66.75,850.266667,10.0
137,278.0,53.636364,76.0,0.0,2908.583333,1983.706667,318.87,4507.73,16590.943333,3.0,49.47,64647.173333,27.0
138,0.0,0.0,0.0,0.0,647.323333,654.366667,0.0,61.043333,174.86,1.0,25.35,0.0,8.0
139,990.833333,15.875,153.779167,0.0,1742.97,1769.41,108.48,1448.21,618.473333,3.0,45.63,2002.84,43.0
140,0.0,0.0,0.0,0.0,1593.993333,1527.813333,70.98,42.546667,12.38,1.0,88.43,1680.276667,4.0
141,0.0,0.0,0.0,0.0,762.0,1520.69,36.0,45806.716667,51804.933333,1.0,54.81,0.0,2.0
142,428.333333,76.91,139.425,0.0,1390.456667,1412.1,616.57,1162.91,394.563333,2.0,39.46,0.0,25.0
143,0.0,0.0,0.0,0.0,2838.596667,3144.773333,167.316667,117530.316667,117007.943333,3.0,64.22,1606.8,16.0
144,0.0,0.0,0.0,0.0,653.593333,829.7,659.875,13526.213333,55276.933333,2.0,92.1,828.68,2.0
145,353.333333,158.675833,54.175,0.0,1309.4,531.876667,69.466667,581.713333,25939.846667,1.0,33.7,485.21,16.0
146,0.0,0.0,0.0,0.0,588.333333,528.213333,0.0,1814.2,2052.983333,1.0,39.58,0.0,2.0
147,136.0,53.545,39.24,0.0,1690.74,1619.933333,276.09,278.59,234.906667,2.0,32.45,551.86,43.0
148,0.0,0.0,0.0,0.0,887.436667,917.386667,43.69,-94.966667,4.72,3.0,53.97,3036.243333,8.0
149,0.0,0.0,0.0,0.0,1372.346667,1221.216667,258.283333,1758.313333,29961.52,3.0,46.98,0.0,32.0
150,0.0,0.0,0.0,0.0,925.896667,924.283333,158.62,0.13,1.546667,3.0,35.32,0.0,5.0
151,0.0,54.525,153.033333,0.0,1269.603333,1508.11,469.52,29320.846667,31204.186667,2.0,72.77,0.0,12.0
152,0.0,0.0,0.0,0.0,2066.09,2093.306667,807.6,201.916667,8503.386667,4.0,53.77,47061.32,21.0
153,362.222222,0.0,0.0,0.0,469.273333,430.27,30.94,38.55,109.86,1.0,51.09,0.0,3.0
154,1116.666667,0.0,0.0,0.0,901.433333,901.433333,173.696667,0.0,1.66,2.0,41.71,0.0,6.0
155,515.454545,0.0,21.35,0.0,91.563333,85.133333,6.65,2.173333,3.923333,2.0,47.41,0.0,3.0
156,187.5,0.0,0.0,0.0,1468.143333,1637.013333,526.53,118.696667,323.363333,5.0,33.9,1145.786667,18.0
157,140.0,0.0,21.65,0.0,997.063333,996.736667,60.675,106.386667,114.67,4.0,29.97,0.0,27.0
158,405.833333,50.0,24.84,0.0,793.193333,526.306667,450.305,268.9,282.44,1.0,24.72,0.0,13.0
159,377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,57.77,0.0,0.0
160,0.0,0.0,0.0,0.0,894.866667,1412.376667,161.013333,36344.82,36378.583333,3.0,74.62,0.0,4.0
161,1047.5,0.0,0.0,0.0,1011.046667,833.793333,121.206667,16.97,248.15,3.0,46.57,238.133333,13.0
162,350.0,98.415833,77.277273,0.0,2285.133333,2370.32,461.743333,9000.136667,16502.503333,6.0,41.5,123827.746667,30.0
163,0.0,39.0,76.875,0.0,818.863333,1210.863333,31998.52,11068.533333,59362.233333,3.0,72.84,396.2,8.0
164,0.0,0.0,0.0,0.0,1415.01,1087.59,93.626667,3385.466667,3449.396667,3.0,79.08,699.95,3.0
165,272.5,26.735714,0.0,0.0,2410.586667,2445.24,742.156667,286.57,2515.386667,3.0,41.68,0.0,29.0
166,0.0,0.0,0.0,0.0,492.966667,491.866667,50.0,3.04,5.863333,1.0,71.94,0.0,3.0
167,245.833333,45.101,40.7,0.0,582.973333,818.056667,341.336667,5500.586667,5443.78,3.0,32.05,0.0,18.0
168,1050.0,0.0,0.0,0.0,1525.543333,1525.506667,0.0,0.173333,183.306667,1.0,69.43,1525.506667,2.0
169,0.0,0.0,0.0,0.0,880.286667,889.746667,0.0,12.723333,18.986667,1.0,64.45,889.746667,1.0
170,113.333333,0.0,96.075,0.0,1671.846667,1181.533333,251.936667,1366.57,1925.913333,3.0,49.34,25590.536667,28.0
171,0.0,0.0,0.0,0.0,594.653333,621.44,140.38,-32.253333,66.693333,2.0,52.53,236.98,10.0
172,466.666667,72.695,58.6875,0.0,1670.313333,1348.9,91.753333,11461.716667,11109.22,1.0,42.57,0.0,17.0
173,253.333333,0.0,0.0,0.0,1722.743333,1573.253333,0.0,1181.93,18897.873333,2.0,24.6,0.0,5.0
174,0.0,0.0,0.0,0.0,1219.563333,1608.79,543.916667,1608.73,1234.69,2.0,59.81,1608.786667,2.0
175,125.0,75.369,63.614,0.0,3761.36,3642.793333,649.6,374.133333,2663.176667,7.0,51.84,368.9,33.0
176,110.0,0.0,86.05,0.0,5648.893333,2930.403333,208.45,2507.156667,1732.2,2.0,64.39,95089.263333,18.0
177,120.0,0.0,0.0,0.0,737.436667,731.35,56.326667,16.116667,133.266667,5.0,45.51,0.0,17.0
178,0.0,0.0,0.0,0.0,884.27,1353.12,149.27,12891.13,81157.386667,2.0,81.7,1330.68,6.0
179,0.0,0.0,0.0,0.0,393.666667,430.27,373.93,169.996667,280.03,1.0,55.21,0.0,3.0
180,0.0,0.0,0.0,0.0,10437.356667,10810.14,2625.64,33719.78,58567.593333,27.0,70.75,1838.26,31.0
181,0.0,0.0,0.0,0.0,1291.253333,982.713333,352.696667,40537.416667,40254.646667,2.0,77.35,850.266667,12.0
182,0.0,0.0,0.0,0.0,423.583333,424.03,0.0,0.446667,4.78,1.0,41.19,0.0,2.0
183,0.0,0.0,0.0,0.0,215.48,650.92,40.76,764.97,383.28,2.0,53.54,724.35,7.0
184,352.5,10.0,42.574,0.0,3623.93,3307.833333,913.46,7528.043333,27602.316667,4.0,76.99,224.19,22.0
185,0.0,0.0,0.0,0.0,45.316667,0.0,35.95,2019.743333,2048.81,0.0,90.94,0.0,1.0
186,41.666667,45.981818,12.95,0.0,219.683333,127.583333,197.066667,593.093333,662.623333,1.0,34.58,0.0,17.0
187,0.0,0.0,0.0,0.0,990.853333,605.1,109.136667,12396.56,13289.873333,1.0,73.21,605.1,4.0
188,385.833333,55.43,25.92,0.0,1721.32,2085.356667,782.95,1158.08,1265.01,4.0,49.43,0.0,18.0
189,0.0,0.0,0.0,0.0,1486.89,1486.89,270.52,10.0,10.0,7.0,72.5,897.97,7.0
190,0.0,23.333333,0.0,0.0,682.05,906.213333,531.43,3657.38,3663.6,2.0,55.59,0.0,11.0
191,0.0,0.0,0.0,0.0,431.07,430.27,48.03,2.91,6.336667,1.0,55.47,0.0,4.0
192,0.0,0.0,0.0,0.0,335.47,500.39,0.0,33555.33,33749.196667,1.0,75.29,72797.48,1.0
193,0.0,0.0,0.0,0.0,557.046667,541.866667,0.0,230.12,431.866667,2.0,66.58,0.0,2.0
194,0.0,0.0,0.0,0.0,360.44,281.81,10.616667,937.02,971.726667,1.0,23.69,0.0,9.0
195,173.333333,60.228333,131.225,0.0,2295.526667,1823.66,83.913333,2269.52,3868.736667,9.0,40.09,0.0,33.0
196,0.0,0.0,0.0,0.0,366.666667,423.4,0.0,15498.376667,15424.833333,1.0,16.95,0.0,2.0
197,0.0,0.0,0.0,0.0,396.556667,405.42,33.11,19.096667,19.02,1.0,70.85,0.0,2.0
198,0.0,0.0,0.0,0.0,483.683333,833.333333,0.0,5693.49,5552.703333,1.0,37.71,9285.02,4.0
199,0.0,0.0,0.0,0.0,1868.38,1877.223333,119.993333,1375.036667,5621.5,3.0,67.44,914.36,17.0
200,160.0,45.584,64.64,0.0,3224.916667,2093.46,626.516667,4389.373333,36601.006667,3.0,48.35,29271.966667,26.0
201,295.454545,167.032727,67.166667,0.0,816.516667,795.15,127.2,850.586667,750.59,2.0,72.75,0.0,12.0
202,0.0,0.0,0.0,0.0,1235.68,1177.696667,96.635,177.643333,115.866667,1.0,66.6,1061.03,8.0
203,0.0,0.0,0.0,0.0,602.333333,5663.313333,351.163333,11262.66,11667.1,2.0,57.75,0.0,1.0
204,802.727273,0.0,0.0,0.0,1018.333333,1240.833333,0.0,1103.473333,1100.726667,2.0,60.41,0.0,9.0
205,0.0,0.0,0.0,0.0,4006.26,10066.78,0.0,18973.96,29911.516667,2.0,79.82,0.0,1.0
206,540.0,0.0,0.0,0.0,493.083333,491.833333,0.0,1.583333,11.286667,1.0,24.8,0.0,3.0
207,0.0,0.0,0.0,0.0,1424.506667,1388.61,1208.38,49.183333,229.05,2.0,54.17,261100.056667,3.0
208,0.0,0.0,0.0,0.0,764.263333,1905.59,584.576667,31404.513333,30108.33,3.0,49.77,0.0,8.0
209,0.0,0.0,0.0,0.0,5685.886667,5187.826667,796.936667,2763.73,21407.366667,2.0,71.9,1187.58,10.0
210,590.0,20.0,0.0,0.0,1530.63,1507.626667,902.576667,132.143333,135.083333,2.0,63.07,1469.293333,9.0
211,466.666667,0.0,0.0,0.0,772.666667,889.17,153.743333,591.526667,232.473333,2.0,88.01,850.266667,10.0
212,0.0,0.0,0.0,0.0,913.333333,799.22,0.0,-275.483333,12.75,2.0,41.94,275.483333,5.0
213,630.833333,26.75,0.0,0.0,382.836667,340.316667,0.0,565.503333,688.883333,0.0,48.58,0.0,4.0
214,340.0,0.0,0.0,0.0,797.333333,798.166667,0.0,7.203333,95.81,3.0,59.99,456.333333,3.0
215,0.0,0.0,0.0,0.0,705.553333,705.663333,0.0,2.44,2.376667,2.0,22.4,0.0,2.0
216,0.0,0.0,0.0,0.0,105.0,1408.643333,0.0,7517.973333,6433.016667,2.0,15.71,0.0,1.0
217,0.0,0.0,0.0,0.0,810.906667,620.716667,88.386667,469.823333,25854.05,2.0,49.29,0.0,16.0
218,613.333333,36.254,0.0,0.0,1199.853333,1128.526667,620.94,49.4,403.333333,3.0,37.39,0.0,14.0
219,0.0,0.0,0.0,0.0,562.876667,563.023333,0.0,17.256667,10.233333,3.0,21.72,259.733333,5.0
220,471.428571,0.0,0.0,0.0,901.813333,1212.126667,63.286667,17044.766667,42449.873333,3.0,82.11,1193.6,5.0
221,0.0,0.0,0.0,0.0,2496.726667,2307.693333,239.636667,5309.13,4496.726667,4.0,67.87,5963.516667,14.0
222,774.285714,80.092857,60.808333,0.0,17607.043333,54967.726667,1294.35,87963.793333,75721.326667,9.0,42.27,97049.266667,42.0
223,252.727273,0.0,22.8,0.0,464.423333,466.133333,211.893333,108.55,76.826667,1.0,51.23,466.133333,6.0
224,0.0,0.0,0.0,0.0,2240.993333,4547.65,0.0,5946.0,35051.12,2.0,67.7,806.8,2.0
225,0.0,0.0,0.0,0.0,9906.82,1069.6,0.0,20525.643333,29113.513333,1.0,40.9,0.0,2.0
226,725.0,72.07,0.0,0.0,94.8,0.0,0.0,-221.473333,61.0,0.0,35.78,179397.235,3.0
227,510.833333,106.791667,10.7,0.0,2992.96,3038.693333,182.495,842.746667,774.43,9.0,28.59,3902.49,51.0
